cod,grad,area
109,FCA,Ciências Humanas
110,FCA,Ciências Humanas
100,FCA,Ciências Biológicas e Profissão da saúde
101,FCA,"Ciências Exatas,Tecnológicas e da Terra"
102,FCA,"Ciências Exatas,Tecnológicas e da Terra"
107,FCA,Ciências Biológicas e Profissão da saúde
63,FCF,Ciências Biológicas e Profissão da saúde
58,FCM,Ciências Biológicas e Profissão da saúde
15,FCM,Ciências Biológicas e Profissão da saúde
56,FE,"Ciências Exatas,Tecnológicas e da Terra"
20,FE,Ciências Humanas
38,FE,Ciências Humanas
13,FEA,"Ciências Exatas,Tecnológicas e da Terra"
43,FEA,"Ciências Exatas,Tecnológicas e da Terra"
8,FEAGRI,"Ciências Exatas,Tecnológicas e da Terra"
48,FEC,"Ciências Exatas,Tecnológicas e da Terra"
12,FEC,"Ciências Exatas,Tecnológicas e da Terra"
11,FEEC,"Ciências Exatas,Tecnológicas e da Terra"
41,FEEC,"Ciências Exatas,Tecnológicas e da Terra"
27,FEF,Ciências Biológicas e Profissão da saúde
45,FEF,Ciências Biológicas e Profissão da saúde
49,FEM,"Ciências Exatas,Tecnológicas e da Terra"
10,FEM,"Ciências Exatas,Tecnológicas e da Terra"
21,FENF,Ciências Biológicas e Profissão da saúde
9,FEQ,"Ciências Exatas,Tecnológicas e da Terra"
39,FEQ,"Ciências Exatas,Tecnológicas e da Terra"
14,FOP,Ciências Biológicas e Profissão da saúde
36,FT,"Ciências Exatas,Tecnológicas e da Terra"
86,FT,"Ciências Exatas,Tecnológicas e da Terra"
73,FT,"Ciências Exatas,Tecnológicas e da Terra"
87,FT,"Ciências Exatas,Tecnológicas e da Terra"
88,FT,"Ciências Exatas,Tecnológicas e da Terra"
89,FT,"Ciências Exatas,Tecnológicas e da Terra"
94,FT,"Ciências Exatas,Tecnológicas e da Terra"
26,IA,Artes
25,IA,Artes
64,IA,Artes
23,IA,Artes
22,IA,Artes
6,IB,Ciências Biológicas e Profissão da saúde
46,IB,Ciências Biológicas e Profissão da saúde
42,IC,"Ciências Exatas,Tecnológicas e da Terra"
34,IC,"Ciências Exatas,Tecnológicas e da Terra"
17,IE,Ciências Humanas
47,IE,Ciências Humanas
75,IEL,Ciências Humanas
7,IEL,Ciências Humanas
57,IEL,Ciências Humanas
18,IEL,Ciências Humanas
16,IFCH,Ciências Humanas
44,IFCH,Ciências Humanas
30,IFCH,Ciências Humanas
19,IFCH,Ciências Humanas
108,IFGW,"Ciências Exatas,Tecnológicas e da Terra"
4,IFGW,"Ciências Exatas,Tecnológicas e da Terra"
40,IFGW,"Ciências Exatas,Tecnológicas e da Terra"
51,IFGW,"Ciências Exatas,Tecnológicas e da Terra"
53,IG,"Ciências Exatas,Tecnológicas e da Terra"
54,IG,Ciências Humanas
55,IG,Ciências Humanas
1,IMECC,"Ciências Exatas,Tecnológicas e da Terra"
2,IMECC,"Ciências Exatas,Tecnológicas e da Terra"
28,IMECC,"Ciências Exatas,Tecnológicas e da Terra"
29,IMECC,"Ciências Exatas,Tecnológicas e da Terra"
5,IQ,"Ciências Exatas,Tecnológicas e da Terra"
50,IQ,"Ciências Exatas,Tecnológicas e da Terra"
200,REIT,Programas Especiais
105,FCA,CiênciasHumanas
6,IB,Ciências Biológicas e Profissão da saúde
60,FT,"Ciências Exatas,Tecnológicas e da Terra"
